AngleServo,ax,ay,az,gx,gy,gz,temp,Deviation,V1,V2
92,31.006,-12.878,109.352,-0.031,-0.031,-0.031,26.847,0,197,197
92,9.956,-1.968,-1.968,-0.016,-0.016,0.000,26.816,0,195,195
92,3.227,-7.851,-7.851,-0.063,-0.063,0.000,27.047,0,192,192
92,-0.702,-11.993,149.139,-0.036,0.000,-0.001,26.816,0,188,188
92,-8.446,-1.831,2.823,0.000,0.000,-0.016,27.569,0,200,200
92,23.712,-1.831,124.992,0.000,0.000,0.000,27.062,0,210,210
92,38.757,-4.303,159.088,-0.061,0.033,0.000,27.077,0,224,224
92,-13.062,23.918,-0.008,0.000,0.000,0.000,26.324,0,238,238
92,26.062,-13.214,102.119,-0.016,-0.016,-0.016,22.634,0,206,206
92,-74.265,-150.368,130.859,-0.016,-0.016,-0.016,22.895,0,208,208
92,9.277,-1.961,-0.008,0.000,0.000,0.000,22.895,0,210,210
92,34.241,-5.096,249.992,0.000,0.000,0.000,22.895,0,230,230
92,15.991,-20.630,65.460,-0.112,-0.020,0.085,22.895,0,242,242
92,8.331,-7.294,125.854,0.000,0.000,0.000,21.773,0.2,185,180
92,1.312,-7.355,140.617,0.000,0.000,0.000,21.911,0.15,190,180
92,3.387,-17.120,164.345,0.000,0.000,0.000,21.542,0,195,180
92,27.893,-4.333,123.810,-0.029,0.019,0.034,21.573,-0.2,200,180
92,27.893,-4.333,123.810,-0.029,0.019,0.034,21.696,-1.1,210,180
90,27.321,-3.929,-3.929,-0.031,-0.035,0.000,24.356,-0.7,180,180
90,-0.214,-6.989,103.210,-0.036,0.000,0.000,22.864,-0.5,185,180
90,9.857,-19.348,123.901,-0.002,0.027,0.000,22.880,-0.75,190,180
90,-12.665,-8.209,139.923,0.027,-0.031,0.003,21.896,0,195,180
90,34.119,-0.748,-1.968,-0.016,-0.016,-0.016,21.896,0,210,195
90,42.297,-0.641,109.367,0.000,0.000,0.000,24.356,0,215,200
90,6.927,-31.036,132.355,-0.063,-0.063,-0.063,24.356,0,197,182
90,23.315,1.312,132.965,-0.126,-0.126,-0.126,24.356,0,203,188
90,11.383,-6.676,-1.968,-0.016,-0.016,-0.016,22.895,0,205,190
90,37.567,-11.780,126.938,-0.016,-0.016,-0.016,22.895,0,230,215
90,19.409,-0.214,165.344,-0.052,0.000,0.000,23.049,0,235,220
90,36.469,-1.373,110.573,-0.031,-0.031,-0.031,23.141,0.5,180,185
90,220.673,-99.609,-236.328,0.000,0.000,0.000,23.864,0.75,180,190
90,15.686,-1.343,117.188,0.000,0.000,0.000,21.404,1.1,185,200
90,11.597,-14.679,138.397,0.000,0.000,0.000,21.404,1.3,185,209
88,14.954,6.805,131.317,-0.025,0.007,0.022,22.664,0.25,180,180
88,8.942,7.263,131.958,-0.037,0.012,-0.010,24.110,-0.1,187,180
88,-6.805,-5.890,140.259,-0.047,-0.019,0.012,23.449,0,190,180
88,10.651,-13.428,126.839,-0.016,-0.016,-0.016,23.218,0,192,182
88,25.352,39.078,115.234,0.000,0.000,0.000,23.894,0,194,184
88,18.097,10.101,123.627,-0.016,-0.016,-0.016,23.633,0,196,186
88,19.745,-13.306,187.492,0.000,0.000,0.000,23.418,0,198,188
88,7.965,-10.498,249.992,0.000,0.000,0.000,26.339,0,200,190
88,-8.972,12.482,127.838,-0.068,0.008,0.047,27.569,0,220,210
88,3.723,50.385,153.351,-0.127,0.000,0.000,26.908,0,230,220
88,169.930,99.617,-167.969,0.031,-0.126,-0.126,26.908,0.1,210,220
88,-132.813,-142.570,214.844,0.000,0.000,0.000,26.216,0.5,198,215
88,9.750,42.984,-220.703,0.500,0.000,0.000,26.186,1.3,190,215
86,17.242,-2.808,134.216,-0.042,-0.013,0.059,25.294,1.7,190,215
86,8.789,6.653,140.137,-0.054,-0.010,0.055,26.186,-0.1,190,180
86,15.717,-0.671,140.617,0.000,0.000,0.000,25.970,-0.5,190,182
86,-117.203,78.140,107.422,0.016,0.000,0.000,26.708,-0.75,190,178
86,11.841,-17.548,125.854,0.000,0.000,0.000,26.678,-1.1,195,180
86,135.406,-13.916,-1.762,0.046,0.000,0.000,26.816,-1.1,200,185
86,-216.805,68.352,193.375,0.002,0.000,0.000,26.754,1.5,190,203
86,-12.695,7.721,85.915,-0.031,-0.031,-0.031,26.939,0,195,185
86,1.678,-8.759,139.435,-0.012,0.010,0.026,26.954,0,198,188
86,-9.766,-2.441,144.592,-0.008,0.004,0.063,27.031,0,220,210
86,26.825,-49.286,147.491,0.000,0.000,0.000,27.108,0,224,214
86,-2.960,0.153,150.482,-0.033,-0.023,0.056,27.062,0,232,222
86,34.485,-16.998,113.655,-0.016,-0.016,-0.016,27.446,0,241,231
