AngleServo,ax,ay,az,gx,gy,gz,temp,Deviation,V1,V2
9.2,3.101,-1.288,10.935,-0.031,-0.031,-0.031,26.847,0,0.788,0.788
9.2,0.996,-0.197,-0.197,-0.016,-0.016,0.000,26.816,0,0.78,0.78
9.2,0.323,-0.785,-0.785,-0.063,-0.063,0.000,27.047,0,0.768,0.768
9.2,-0.070,-1.199,14.914,-0.036,0.000,-0.001,26.816,0,0.752,0.752
9.2,-0.845,-0.183,0.282,0.000,0.000,-0.016,27.569,0,0.8,0.8
9.2,2.371,-0.183,12.499,0.000,0.000,0.000,27.062,0,0.84,0.84
9.2,3.876,-0.430,15.909,-0.061,0.033,0.000,27.077,0,0.896,0.896
9.2,-1.306,2.392,-0.001,0.000,0.000,0.000,26.324,0,0.952,0.952
9.2,2.606,-1.321,10.212,-0.016,-0.016,-0.016,22.634,0,0.824,0.824
9.2,-7.426,-15.037,13.086,-0.016,-0.016,-0.016,22.895,0,0.832,0.832
9.2,0.928,-0.196,-0.001,0.000,0.000,0.000,22.895,0,0.84,0.84
9.2,3.424,-0.510,24.999,0.000,0.000,0.000,22.895,0,0.92,0.92
9.2,1.599,-2.063,6.546,-0.112,-0.020,0.085,22.895,0,0.968,0.968
9.2,0.833,-0.729,12.585,0.000,0.000,0.000,21.773,2,0.74,0.72
9.2,0.131,-0.735,14.062,0.000,0.000,0.000,21.911,1.5,0.76,0.72
9.2,0.339,-1.712,16.434,0.000,0.000,0.000,21.542,0,0.78,0.72
9.2,2.789,-0.433,12.381,-0.029,0.019,0.034,21.573,-2,0.8,0.72
9.2,2.789,-0.433,12.381,-0.029,0.019,0.034,21.696,-11,0.84,0.72
9,2.732,-0.393,-0.393,-0.031,-0.035,0.000,24.356,-7,0.72,0.72
9,-0.021,-0.699,10.321,-0.036,0.000,0.000,22.864,-5,0.74,0.72
9,0.986,-1.935,12.390,-0.002,0.027,0.000,22.880,-7.5,0.76,0.72
9,-1.266,-0.821,13.992,0.027,-0.031,0.003,21.896,0,0.78,0.72
9,3.412,-0.075,-0.197,-0.016,-0.016,-0.016,21.896,0,0.84,0.78
9,4.230,-0.064,10.937,0.000,0.000,0.000,24.356,0,0.86,0.8
9,0.693,-3.104,13.235,-0.063,-0.063,-0.063,24.356,0,0.788,0.728
9,2.332,0.131,13.297,-0.126,-0.126,-0.126,24.356,0,0.812,0.752
9,1.138,-0.668,-0.197,-0.016,-0.016,-0.016,22.895,0,0.82,0.76
9,3.757,-1.178,12.694,-0.016,-0.016,-0.016,22.895,0,0.92,0.86
9,1.941,-0.021,16.534,-0.052,0.000,0.000,23.049,0,0.94,0.88
9,3.647,-0.137,11.057,-0.031,-0.031,-0.031,23.141,5,0.72,0.74
9,22.067,-9.961,-23.633,0.000,0.000,0.000,23.864,7.5,0.72,0.76
9,1.569,-0.134,11.719,0.000,0.000,0.000,21.404,11,0.74,0.8
9,1.160,-1.468,13.840,0.000,0.000,0.000,21.404,13,0.74,0.836
8.8,1.495,0.681,13.132,-0.025,0.007,0.022,22.664,2.5,0.72,0.72
8.8,0.894,0.726,13.196,-0.037,0.012,-0.010,24.110,-1,0.748,0.72
8.8,-0.681,-0.589,14.026,-0.047,-0.019,0.012,23.449,0,0.76,0.72
8.8,1.065,-1.343,12.684,-0.016,-0.016,-0.016,23.218,0,0.768,0.728
8.8,2.535,3.908,11.523,0.000,0.000,0.000,23.894,0,0.776,0.736
8.8,1.810,1.010,12.363,-0.016,-0.016,-0.016,23.633,0,0.784,0.744
8.8,1.974,-1.331,18.749,0.000,0.000,0.000,23.418,0,0.792,0.752
8.8,0.797,-1.050,24.999,0.000,0.000,0.000,26.339,0,0.8,0.76
8.8,-0.897,1.248,12.784,-0.068,0.008,0.047,27.569,0,0.88,0.84
8.8,0.372,5.038,15.335,-0.127,0.000,0.000,26.908,0,0.92,0.88
8.8,16.993,9.962,-16.797,0.031,-0.126,-0.126,26.908,1,0.84,0.88
8.8,-13.281,-14.257,21.484,0.000,0.000,0.000,26.216,5,0.792,0.86
8.8,0.975,4.298,-22.070,0.500,0.000,0.000,26.186,13,0.76,0.86
8.6,1.724,-0.281,13.422,-0.042,-0.013,0.059,25.294,17,0.76,0.86
8.6,0.879,0.665,14.014,-0.054,-0.010,0.055,26.186,-1,0.76,0.72
8.6,1.572,-0.067,14.062,0.000,0.000,0.000,25.970,-5,0.76,0.728
8.6,-11.720,7.814,10.742,0.016,0.000,0.000,26.708,-7.5,0.76,0.712
8.6,1.184,-1.755,12.585,0.000,0.000,0.000,26.678,-11,0.78,0.72
8.6,13.541,-1.392,-0.176,0.046,0.000,0.000,26.816,-11,0.8,0.74
8.6,-21.680,6.835,19.337,0.002,0.000,0.000,26.754,15,0.76,0.812
8.6,-1.270,0.772,8.591,-0.031,-0.031,-0.031,26.939,0,0.78,0.74
8.6,0.168,-0.876,13.943,-0.012,0.010,0.026,26.954,0,0.792,0.752
8.6,-0.977,-0.244,14.459,-0.008,0.004,0.063,27.031,0,0.88,0.84
8.6,2.682,-4.929,14.749,0.000,0.000,0.000,27.108,0,0.896,0.856
8.6,-0.296,0.015,15.048,-0.033,-0.023,0.056,27.062,0,0.928,0.888
8.6,3.448,-1.700,11.366,-0.016,-0.016,-0.016,27.446,0,0.964,0.924
8.4,-0.037,-0.175,-0.050,0.630,0.000,0.000,27.462,7.5,0.76,0.76
8.4,1.035,0.507,13.168,0.000,0.000,0.000,27.569,1,0.8,0.76
8.4,-0.391,-0.525,14.642,-0.126,-0.126,-0.125,27.800,0,0.808,0.76
