AngleServo;ax;ay;az;gx;gy;gz;temp;Deviation;V1;V2
0,851851852;0,124023438;-0,051513672;0,437408447;-0,015716553;-0,015716553;-0,015716553;0,940732759;0;0,788;0,788
0,851851852;0,039825439;-0,007873535;-0,007873535;-0,007873535;-0,007873535;-3,05176E-05;0,939655172;0;0,78;0,78
0,851851852;0,012908936;-0,031402588;-0,031402588;-0,031402588;-0,031402588;-3,05176E-05;0,947737069;0;0,768;0,768
0,851851852;-0,002807617;-0,047973633;0,596557617;-0,01776123;0,000152588;-0,000671387;0,939655172;0;0,752;0,752
0,851851852;-0,033782959;-0,007324219;0,011291504;-3,05176E-05;-3,05176E-05;-0,007873535;0,966056034;0;0,8;0,8
0,851851852;0,094848633;-0,007324219;0,499969482;-3,05176E-05;-3,05176E-05;-3,05176E-05;0,948275862;0;0,84;0,84
0,851851852;0,155029297;-0,017211914;0,636352539;-0,030426025;0,016357422;0;0,948814655;0;0,896;0,896
0,851851852;-0,052246094;0,095672607;-3,05176E-05;-3,05176E-05;-3,05176E-05;-3,05176E-05;0,922413793;0;0,952;0,952
0,851851852;0,104248047;-0,052856445;0,408477783;-0,007873535;-0,007873535;-0,007873535;0,793103448;0;0,824;0,824
0,851851852;-0,297058105;-0,601470947;0,5234375;-0,007873535;-0,007873535;-0,007873535;0,802262931;0;0,832;0,832
0,851851852;0,037109375;-0,007843018;-3,05176E-05;-3,05176E-05;-3,05176E-05;-3,05176E-05;0,802262931;0;0,84;0,84
0,851851852;0,136962891;-0,020385742;0,999969482;-3,05176E-05;-3,05176E-05;-3,05176E-05;0,802262931;0;0,92;0,92
0,851851852;0,063964844;-0,082519531;0,26184082;-0,05581665;-0,00994873;0,042694092;0,802262931;0;0,968;0,968
0,851851852;0,033325195;-0,029174805;0,503417969;0;0;0;0,762931034;0,05;0,74;0,72
0,851851852;0,005249023;-0,029418945;0,562469482;-3,05176E-05;-3,05176E-05;-3,05176E-05;0,767780172;0,0375;0,76;0,72
0,851851852;0,013549805;-0,068481445;0,65737915;-3,05176E-05;-3,05176E-05;-3,05176E-05;0,754849138;0;0,78;0,72
0,851851852;0,111572266;-0,017333984;0,495239258;-0,01449585;0,009460449;0,016876221;0,755926724;-0,05;0,8;0,72
0,851851852;0,111572266;-0,017333984;0,495239258;-0,01449585;0,009460449;0,016876221;0,760237069;-0,275;0,84;0,72
0,833333333;0,109283447;-0,015716553;-0,015716553;-0,015716553;-0,017608643;-3,05176E-05;0,853448276;-0,175;0,72;0,72
0,833333333;-0,000854492;-0,027954102;0,412841797;-0,017852783;-3,05176E-05;-3,05176E-05;0,801185345;-0,125;0,74;0,72
0,833333333;0,039428711;-0,077392578;0,495605469;-0,000915527;0,013641357;-3,05176E-05;0,801724138;-0,1875;0,76;0,72
0,833333333;-0,05065918;-0,032836914;0,559692383;0,013458252;-0,015380859;0,001434326;0,767241379;0;0,78;0,72
0,833333333;0,136474609;-0,002990723;-0,007873535;-0,007873535;-0,007873535;-0,007873535;0,767241379;0;0,84;0,78
0,833333333;0,169189453;-0,002563477;0,437469482;-3,05176E-05;-3,05176E-05;-3,05176E-05;0,853448276;0;0,86;0,8
0,833333333;0,027709961;-0,124145508;0,529418945;-0,031402588;-0,031402588;-0,031402588;0,853448276;0;0,788;0,728
0,833333333;0,093261719;0,005249023;0,531860352;-0,062774658;-0,062774658;-0,062774658;0,853448276;0;0,812;0,752
0,833333333;0,045532227;-0,026702881;-0,007873535;-0,007873535;-0,007873535;-0,007873535;0,802262931;0;0,82;0,76
0,833333333;0,150268555;-0,047119141;0,507751465;-0,007873535;-0,007873535;-0,007873535;0,802262931;0;0,92;0,86
0,833333333;0,077636719;-0,000854492;0,661376953;-0,026031494;-3,05176E-05;-3,05176E-05;0,807650862;0;0,94;0,88
0,833333333;0,145874023;-0,005493164;0,44229126;-0,015716553;-0,015716553;-0,015716553;0,810883621;0,125;0,72;0,74
0,833333333;0,88269043;-0,3984375;-0,9453125;-3,05176E-05;-3,05176E-05;-3,05176E-05;0,836206897;0,1875;0,72;0,76
0,833333333;0,062744141;-0,005371094;0,46875;0;0;0;0,75;0,275;0,74;0,8
0,833333333;0,046386719;-0,05871582;0,553588867;-3,05176E-05;-3,05176E-05;-3,05176E-05;0,75;0,325;0,74;0,836
0,814814815;0,059814453;0,02722168;0,525268555;-0,01272583;0,003631592;0,011199951;0,794181034;0,0625;0,72;0,72
0,814814815;0,035766602;0,029052734;0,527832031;-0,01852417;0,005828857;-0,005004883;0,844827586;-0,025;0,748;0,72
0,814814815;-0,02722168;-0,02355957;0,561035156;-0,02331543;-0,00970459;0,006134033;0,821659483;0;0,76;0,72
0,814814815;0,042602539;-0,053710938;0,507354736;-0,007873535;-0,007873535;-0,007873535;0,813577586;0;0,768;0,728
0,814814815;0,101409912;0,156311035;0,4609375;0,000213623;-3,05176E-05;-3,05176E-05;0,837284483;0;0,776;0,736
